contest_id,year,election_type,contest_name_raw,contest_name,position,date,seats,valid_votes,invalid_votes,quota,election_rules,has_stv_rounds,source,source_pdf
2016|UK national|North East - FE,2016,UK national,North East - FE,North East - FE,North East - FE,29/02/2016,1,335,28,167.5,ERS97,True,pdf,data/raw/2016/pdfs/FE_North_East_count_sheet.pdf
2016|UK national|UK-Elected NEC-FE,2016,UK national,UK-Elected NEC-FE,UK-Elected NEC-FE,UK-Elected NEC-FE,29/02/2016,3,1932,210,483,Custom,True,pdf,data/raw/2016/pdfs/FE_UK-elected_count_sheet.pdf
2016|UK national|Representatives of Women - FE,2016,UK national,Representatives of Women - FE,Representatives of Women - FE,Representatives of Women - FE,29/02/2016,2,7412,1592,2470.67,ERS97,True,pdf,data/raw/2016/pdfs/FE_women_reps_count_sheet.pdf
2016|UK national|London and the East - HE,2016,UK national,London and the East - HE,London and the East - HE,London and the East - HE,29/02/2016,4,1276,42,255.2,Custom,True,pdf,data/raw/2016/pdfs/HE_London_East_count_sheet.pdf
2016|UK national|Northern Ireland - HE,2016,UK national,Northern Ireland - HE,Northern Ireland - HE,Northern Ireland - HE,29/02/2016,1,189,2,94.5,ERS97,True,pdf,data/raw/2016/pdfs/HE_Northern_Ireland_count_sheet.pdf
2016|UK national|UK-Elected NEC- HE,2016,UK national,UK-Elected NEC- HE,UK-Elected NEC- HE,UK-Elected NEC- HE,29/02/2016,3,5722,242,1430.5,Custom,True,pdf,data/raw/2016/pdfs/HE_UK-elected_count_sheet.pdf
2016|UK national|Representatives of Women - HE,2016,UK national,Representatives of Women - HE,Representatives of Women - HE,Representatives of Women - HE,29/02/2016,3,7979,1025,1994.75,ERS97,True,pdf,data/raw/2016/pdfs/HE_women_reps_count_sheet.pdf
2016|UK national|Vice President - FE,2016,UK national,Vice President - FE,Vice President - FE,Vice President - FE,29/02/2016,1,8121,883,4060.5,ERS97,True,pdf,data/raw/2016/pdfs/VP_FE_count_sheet.pdf
2017|UK national|UK-Elected members FE,2017,UK national,UK-Elected members FE,UK-Elected members FE,UK-Elected members FE,02/03/2017,2,2223,142,741,ERS97,True,pdf,data/raw/2017/pdfs/count_sheet_FE_UK-elected_2017.pdf
2017|UK national|UK NEC Members HE,2017,UK national,UK NEC Members HE,UK NEC Members HE,UK NEC Members HE,02/03/2017,4,9280,1024,1819.6,ERS97,True,pdf,data/raw/2017/pdfs/count_sheet_HE_UK-elected_2017.pdf
