year,name_canonical,position,sector,role_type,elected_year
2017,Rhiannon Lockley,"NEC Members, Midlands, FE",FE,regional,2017
2017,David Ridley,"NEC Members, Midlands, HE",HE,regional,2017
2017,Justine Mercer,"NEC Members, Midlands, HE",HE,regional,2017
2017,Cath Hepburn,"NEC Members, North East, FE",FE,regional,2016
2017,Renee Prendergast,"NEC Members, Northern Ireland, HE",HE,regional,2016
2017,Denis A Nicole,"NEC Members, South, HE",HE,regional,2017
2017,Lesley Kane,"NEC Members, South, HE",HE,regional,2017
2017,Pauline Collins,"NEC Members, South, HE",HE,regional,2017
2017,Anya Cook,"UK NEC Members, FE",FE,uk_nec,2017
2017,Jenny Prideaux,"UK NEC Members, FE",FE,uk_nec,2016
2017,Mandy Brown,"UK NEC Members, FE",FE,uk_nec,2017
2017,Margot Hill,"UK NEC Members, FE",FE,uk_nec,2016
2017,Mel Stouph,"UK NEC Members, FE",FE,uk_nec,2016
2017,Carlo Morelli,"UK NEC Members, HE",HE,uk_nec,2017
2017,Dominique Lauterburg,"UK NEC Members, HE",HE,uk_nec,2017
2017,Jimmy Donaghey,"UK NEC Members, HE",HE,uk_nec,2016
2017,Julia Charlton,"UK NEC Members, HE",HE,uk_nec,2017
2017,Julie Hearn,"UK NEC Members, HE",HE,uk_nec,2016
2017,Paul Errington,"UK NEC Members, HE",HE,uk_nec,2016
2017,Vicky Blake,"UK NEC Members, HE",HE,uk_nec,2017
2017,Rob Goodfellow,Immediate Past President,FE,vp_chain,2014
2017,Vicky Knight,President-elect,FE,vp_chain,2016
2017,Douglas Chalmers,Vice-President,HE,vp_chain,2017
2017,Carolyn Campbell,"Representatives of Women Members, FE",FE,women,2016
2017,Elaine White,"Representatives of Women Members, FE",FE,women,2016
2017,Ariane Bogain,"Representatives of Women Members, HE",HE,women,2016
2017,Sue Abbott,"Representatives of Women Members, HE",HE,women,2016
2017,Victoria Showunmi,"Representatives of Women Members, HE",HE,women,2016
